County,Date,Status,Cases,Deaths,Cases.Cumulative,Deaths.Cumulative,Updated,Region,County.FIPS.Character,State.Name,State.FIPS.Character,State.Abb,pop2018,GrowthRate,Density,Detroit
Total,2020-03-01T00:00:00Z,Total,14,0,14,0,2020-09-28T14:35:55Z,26001,26001,michigan,26,MI,10362,-4.7348,16.2,No
Total,2020-03-02T00:00:00Z,Total,12,0,26,0,2020-09-28T14:35:55Z,26001,26001,michigan,26,MI,10362,-4.7348,16.2,No
Total,2020-03-03T00:00:00Z,Total,22,0,48,0,2020-09-28T14:35:55Z,26001,26001,michigan,26,MI,10362,-4.7348,16.2,No
Total,2020-03-04T00:00:00Z,Total,24,0,72,0,2020-09-28T14:35:55Z,26001,26001,michigan,26,MI,10362,-4.7348,16.2,No
Total,2020-03-05T00:00:00Z,Total,24,0,96,0,2020-09-28T14:35:55Z,26001,26001,michigan,26,MI,10362,-4.7348,16.2,No
Total,2020-03-06T00:00:00Z,Total,42,0,138,0,2020-09-28T14:35:55Z,26001,26001,michigan,26,MI,10362,-4.7348,16.2,No
Total,2020-03-07T00:00:00Z,Total,48,0,186,0,2020-09-28T14:35:55Z,26001,26001,michigan,26,MI,10362,-4.7348,16.2,No
Total,2020-03-08T00:00:00Z,Total,63,0,249,0,2020-09-28T14:35:55Z,26001,26001,michigan,26,MI,10362,-4.7348,16.2,No
Total,2020-03-09T00:00:00Z,Total,123,0,372,0,2020-09-28T14:35:55Z,26001,26001,michigan,26,MI,10362,-4.7348,16.2,No
Total,2020-03-10T00:00:00Z,Total,155,0,527,0,2020-09-28T14:35:55Z,26001,26001,michigan,26,MI,10362,-4.7348,16.2,No
Total,2020-03-11T00:00:00Z,Total,199,0,726,0,2020-09-28T14:35:55Z,26001,26001,michigan,26,MI,10362,-4.7348,16.2,No
Total,2020-03-12T00:00:00Z,Total,270,1,996,1,2020-09-28T14:35:55Z,26001,26001,michigan,26,MI,10362,-4.7348,16.2,No
Total,2020-03-13T00:00:00Z,Total,368,0,1364,1,2020-09-28T14:35:55Z,26001,26001,michigan,26,MI,10362,-4.7348,16.2,No
Total,2020-03-14T00:00:00Z,Total,370,0,1734,1,2020-09-28T14:35:55Z,26001,26001,michigan,26,MI,10362,-4.7348,16.2,No
Total,2020-03-15T00:00:00Z,Total,466,1,2200,2,2020-09-28T14:35:55Z,26001,26001,michigan,26,MI,10362,-4.7348,16.2,No
Total,2020-03-16T00:00:00Z,Total,710,1,2910,3,2020-09-28T14:35:55Z,26001,26001,michigan,26,MI,10362,-4.7348,16.2,No
Total,2020-03-17T00:00:00Z,Total,780,0,3690,3,2020-09-28T14:35:55Z,26001,26001,michigan,26,MI,10362,-4.7348,16.2,No
Total,2020-03-18T00:00:00Z,Total,886,3,4576,6,2020-09-28T14:35:55Z,26001,26001,michigan,26,MI,10362,-4.7348,16.2,No
Total,2020-03-19T00:00:00Z,Total,766,5,5342,11,2020-09-28T14:35:55Z,26001,26001,michigan,26,MI,10362,-4.7348,16.2,No
Total,2020-03-20T00:00:00Z,Total,960,4,6302,15,2020-09-28T14:35:55Z,26001,26001,michigan,26,MI,10362,-4.7348,16.2,No
Total,2020-03-21T00:00:00Z,Total,802,9,7104,24,2020-09-28T14:35:55Z,26001,26001,michigan,26,MI,10362,-4.7348,16.2,No
Total,2020-03-22T00:00:00Z,Total,809,12,7913,36,2020-09-28T14:35:55Z,26001,26001,michigan,26,MI,10362,-4.7348,16.2,No
Total,2020-03-23T00:00:00Z,Total,1240,21,9153,57,2020-09-28T14:35:55Z,26001,26001,michigan,26,MI,10362,-4.7348,16.2,No
Total,2020-03-24T00:00:00Z,Total,1099,29,10252,86,2020-09-28T14:35:55Z,26001,26001,michigan,26,MI,10362,-4.7348,16.2,No
Total,2020-03-25T00:00:00Z,Total,1166,25,11418,111,2020-09-28T14:35:55Z,26001,26001,michigan,26,MI,10362,-4.7348,16.2,No
Total,2020-03-26T00:00:00Z,Total,1123,51,12541,162,2020-09-28T14:35:55Z,26001,26001,michigan,26,MI,10362,-4.7348,16.2,No
Total,2020-03-27T00:00:00Z,Total,1290,53,13831,215,2020-09-28T14:35:55Z,26001,26001,michigan,26,MI,10362,-4.7348,16.2,No
Total,2020-03-28T00:00:00Z,Total,1056,69,14887,284,2020-09-28T14:35:55Z,26001,26001,michigan,26,MI,10362,-4.7348,16.2,No
Total,2020-03-29T00:00:00Z,Total,904,69,15791,353,2020-09-28T14:35:55Z,26001,26001,michigan,26,MI,10362,-4.7348,16.2,No
Total,2020-03-30T00:00:00Z,Total,1566,84,17357,437,2020-09-28T14:35:55Z,26001,26001,michigan,26,MI,10362,-4.7348,16.2,No
Total,2020-03-31T00:00:00Z,Total,1278,116,18635,553,2020-09-28T14:35:55Z,26001,26001,michigan,26,MI,10362,-4.7348,16.2,No
Total,2020-04-01T00:00:00Z,Total,1571,128,20206,681,2020-09-28T14:35:55Z,26001,26001,michigan,26,MI,10362,-4.7348,16.2,No
Total,2020-04-02T00:00:00Z,Total,1112,126,21318,807,2020-09-28T14:35:55Z,26001,26001,michigan,26,MI,10362,-4.7348,16.2,No
Total,2020-04-03T00:00:00Z,Total,1186,117,22504,924,2020-09-28T14:35:55Z,26001,26001,michigan,26,MI,10362,-4.7348,16.2,No
Total,2020-04-04T00:00:00Z,Total,996,118,23500,1042,2020-09-28T14:35:55Z,26001,26001,michigan,26,MI,10362,-4.7348,16.2,No
Total,2020-04-05T00:00:00Z,Total,867,124,24367,1166,2020-09-28T14:35:55Z,26001,26001,michigan,26,MI,10362,-4.7348,16.2,No
Total,2020-04-06T00:00:00Z,Total,1313,142,25680,1308,2020-09-28T14:35:55Z,26001,26001,michigan,26,MI,10362,-4.7348,16.2,No
Total,2020-04-07T00:00:00Z,Total,1159,157,26839,1465,2020-09-28T14:35:55Z,26001,26001,michigan,26,MI,10362,-4.7348,16.2,No
Total,2020-04-08T00:00:00Z,Total,1066,150,27905,1615,2020-09-28T14:35:55Z,26001,26001,michigan,26,MI,10362,-4.7348,16.2,No
Total,2020-04-09T00:00:00Z,Total,995,155,28900,1770,2020-09-28T14:35:55Z,26001,26001,michigan,26,MI,10362,-4.7348,16.2,No
Total,2020-04-10T00:00:00Z,Total,1034,162,29934,1932,2020-09-28T14:35:55Z,26001,26001,michigan,26,MI,10362,-4.7348,16.2,No
Total,2020-04-11T00:00:00Z,Total,799,164,30733,2096,2020-09-28T14:35:55Z,26001,26001,michigan,26,MI,10362,-4.7348,16.2,No
Total,2020-04-12T00:00:00Z,Total,681,170,31414,2266,2020-09-28T14:35:55Z,26001,26001,michigan,26,MI,10362,-4.7348,16.2,No
Total,2020-04-13T00:00:00Z,Total,1008,140,32422,2406,2020-09-28T14:35:55Z,26001,26001,michigan,26,MI,10362,-4.7348,16.2,No
Total,2020-04-14T00:00:00Z,Total,891,141,33313,2547,2020-09-28T14:35:55Z,26001,26001,michigan,26,MI,10362,-4.7348,16.2,No
Total,2020-04-15T00:00:00Z,Total,927,137,34240,2684,2020-09-28T14:35:55Z,26001,26001,michigan,26,MI,10362,-4.7348,16.2,No
Total,2020-04-16T00:00:00Z,Total,930,169,35170,2853,2020-09-28T14:35:55Z,26001,26001,michigan,26,MI,10362,-4.7348,16.2,No
Total,2020-04-17T00:00:00Z,Total,862,145,36032,2998,2020-09-28T14:35:55Z,26001,26001,michigan,26,MI,10362,-4.7348,16.2,No
Total,2020-04-18T00:00:00Z,Total,691,124,36723,3122,2020-09-28T14:35:55Z,26001,26001,michigan,26,MI,10362,-4.7348,16.2,No
Total,2020-04-19T00:00:00Z,Total,523,126,37246,3248,2020-09-28T14:35:55Z,26001,26001,michigan,26,MI,10362,-4.7348,16.2,No
Total,2020-04-20T00:00:00Z,Total,941,112,38187,3360,2020-09-28T14:35:55Z,26001,26001,michigan,26,MI,10362,-4.7348,16.2,No
